,Corruption,FP,T5D
0,brightness,0.029777999999996606,0.8659919999999554
1,gaussian_noise,0.08740866666666913,2.39102666666665
2,motion_blur,0.041086000000000227,1.1073159999999707
3,rotate,0.06236666666666785,1.8030419999999887
4,scale,0.1121286666666677,2.72573399999993
5,shot_noise,0.08766400000000235,2.4061933333332814
6,snow,0.04663333333333254,1.2632353333332953
7,tilt,0.03480799999999973,1.0839593333332969
8,translate,0.050557000000001295,1.529587999999972
9,zoom_blur,0.03160199999999594,0.8607273333332831
